20	5660
20.01	5260
20.02	5340
20.03	5150
20.04	5210
20.05	5290
20.06	5290
20.07	5390
20.08	4680
20.09	4940
20.1	5340
20.11	5010
20.12	5070
20.13	5100
20.14	5340
20.15	5280
20.16	5210
20.17	4940
20.18	5130
20.19	5090
20.2	4910
20.21	5260
20.22	5090
20.23	5320
20.24	4950
20.25	4940
20.26	5070
20.27	5130
20.28	5240
20.29	5310
20.3	4680
20.31	4900
20.32	5070
20.33	5010
20.34	5150
20.35	5150
20.36	5310
20.37	5120
20.38	5030
20.39	5200
20.4	5430
20.41	5080
20.42	5020
20.43	4920
20.44	4940
20.45	5160
20.46	5240
20.47	4930
20.48	5100
20.49	5270
20.5	5150
20.51	4940
20.52	5110
20.53	5190
20.54	5230
20.55	5310
20.56	5110
20.57	5150
20.58	5050
20.59	5350
20.6	4950
20.61	4940
20.62	5090
20.63	4910
20.64	5010
20.65	4840
20.66	4580
20.67	5270
20.68	5510
20.69	4590
20.7	4880
20.71	5250
20.72	4870
20.73	5310
20.74	4770
20.75	5030
20.76	4870
20.77	5140
20.78	5200
20.79	4970
20.8	5190
20.81	5010
20.82	4940
20.83	5030
20.84	4560
20.85	5010
20.86	4520
20.87	4570
20.88	5280
20.89	4790
20.9	5040
20.91	4940
20.92	4780
20.93	4900
20.94	5120
20.95	4830
20.96	4600
20.97	4890
20.98	4880
20.99	5010
21	4910
21.01	4860
21.02	4800
21.03	4670
21.04	4670
21.05	5260
21.06	4600
21.07	4730
21.08	5120
21.09	5120
21.1	5390
21.11	5150
21.12	4830
21.13	4750
21.14	4850
21.15	4850
21.16	4860
21.17	4350
21.18	4540
21.19	4620
21.2	4790
21.21	4420
21.22	4690
21.23	5160
21.24	4730
21.25	4730
21.26	4990
21.27	4970
21.28	5130
21.29	4720
21.3	4710
21.31	4860
21.32	4920
21.33	4750
21.34	4970
21.35	4480
21.36	5000
21.37	4650
21.38	5000
21.39	4860
21.4	4850
21.41	5530
21.42	4950
21.43	4630
21.44	4920
21.45	4880
21.46	4770
21.47	4760
21.48	4910
21.49	4700
21.5	4670
21.51	4640
21.52	5090
21.53	4390
21.54	4940
21.55	4980
21.56	4850
21.57	4640
21.58	4860
21.59	4940
21.6	5020
21.61	4460
21.62	4040
